Draft,Trim,V,PE,DISP,PR
13,0,15,9881,118632.5,1
13,0,16.5,13152,118632.5,1
13,0,18,16991,118632.5,1
13,0,19.5,21451,118632.5,1
13,0,21,26730,118632.5,1
13,0,23,35154,118632.5,1
13,0.75,13,6241,118632.5,0.99856
13,0.75,15,10019,118632.5,1.01396619775326
13,0.75,16.5,13379,118632.5,1.0172597323601
13,0.75,18,17301,118632.5,1.01824495321052
13,0.75,19.5,21721,118632.5,1.01258682578901
13,0.75,21,26887,118632.5,1.00587355031799
13,0.75,23,35209,118632.5,1.0015645445753
13,1,13,6317,118632.5,1.01072
13,1,15,10177,118632.5,1.02995648213744
13,1,16.5,13491,118632.5,1.02577554744526
13,1,18,17478,118632.5,1.02866223294685
13,1,19.5,21978,118632.5,1.02456761922521
13,1,21,27106,118632.5,1.01406659184437
13,1,23,35375,118632.5,1.00628662456619
13,1.5,13,6393,118632.5,1.02288
13,1.5,15,10335,118632.5,1.04594676652161
13,1.5,16.5,13604,118632.5,1.03436739659367
13,1.5,18,17655,118632.5,1.03907951268319
13,1.5,19.5,22235,118632.5,1.03654841266141
13,1.5,21,27326,118632.5,1.02229704451927
13,1.5,23,35541,118632.5,1.01100870455709
13,2,13,6461,118632.5,1.03376
13,2,15,10483,118632.5,1.06092500759033
13,2,16.5,13971,118632.5,1.06227189781022
13,2,18,18023,118632.5,1.06073803778471
13,2,19.5,22637,118632.5,1.05528879772505
13,2,21,27799,118632.5,1.0399925177703
13,2,23,36128,118632.5,1.02770666211526
13,2.5,13,6530,118632.5,1.0448
13,2.5,15,10631,118632.5,1.07590324865904
13,2.5,16.5,14339,118632.5,1.09025243309002
13,2.5,18,18390,118632.5,1.08233770819846
13,2.5,19.5,23039,118632.5,1.07402918278868
13,2.5,21,28273,118632.5,1.05772540216985
13,2.5,23,36715,118632.5,1.04440461967344
13,3.5,13,6667,118632.5,1.06672
13,3.5,15,10927,118632.5,1.10585973079648
13,3.5,16.5,15074,118632.5,1.14613746958637
13,3.5,18,19125,118632.5,1.12559590371373
13,3.5,19.5,23842,118632.5,1.11146333504266
13,3.5,21,29221,118632.5,1.09319117096895
13,3.5,23,37889,118632.5,1.07780053478978
13,4.5,13,6804,118632.5,1.08864
13,4.5,15,11223,118632.5,1.13581621293391
13,4.5,16.5,15809,118632.5,1.20202250608273
13,4.5,18,19860,118632.5,1.168854099229
13,4.5,19.5,24646,118632.5,1.14894410516992
13,4.5,21,30169,118632.5,1.12865693976805
13,4.5,23,39063,118632.5,1.11119644990613
14.5,-2,13,6893,136317.3,1.10288
14.5,-2,15,10806,136317.3,1.09361400667949
14.5,-2,16.5,14100,136317.3,1.0720802919708
14.5,-2,18,18488,136317.3,1.08810546760049
14.5,-2,19.5,23269,136317.3,1.08475129364598
14.5,-2,21,29629,136317.3,1.10845491956603
14.5,-2,23,39643,136317.3,1.12769528360926
14.5,-1,13,6771,136317.3,1.08336
14.5,-1,15,10476,136317.3,1.06021657726951
14.5,-1,16.5,13861,136317.3,1.05390815085158
14.5,-1,18,18169,136317.3,1.06933082219999
14.5,-1,19.5,23078,136317.3,1.07584727984709
14.5,-1,21,29239,136317.3,1.09386457164235
14.5,-1,23,38982,136317.3,1.10889230244069
14.5,0,13,6648,136317.3,1.06368
14.5,0,15,10147,136317.3,1.02692035219107
14.5,0,16.5,13621,136317.3,1.0356599756691
14.5,0,18,17850,136317.3,1.05055617679948
14.5,0,19.5,22887,136317.3,1.0669432660482
14.5,0,21,28848,136317.3,1.07923681257015
14.5,0,23,38320,136317.3,1.09006087500711
14.5,0.75,13,6621,136317.3,1.05936
14.5,0.75,15,10146,136317.3,1.02681914785953
14.5,0.75,16.5,13639,136317.3,1.03702858880779
14.5,0.75,18,17966,136317.3,1.05738332058148
